Hybridization REF	13685041.gpr	13685040.gpr	13685153.gpr	13685151.gpr	13685042.gpr
Reporter REF	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001080 Blank	0.023	0.069	-0.131	-0.14	-0.043
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202758 Aldh2 ProximalPromoter	0.081	0.169	0.005	-0.211	-0.135
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202063 Lmbr1l ProximalPromoter	-0.357	-0.039	0.033	0.101	-0.211
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204368 Eps15l1 ProximalPromoter	-0.202	-0.022	0.074	-0.01	-0.259
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205306 Hspb2 ProximalPromoter	-0.083	-0.156	0.017	0.006	0.011
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205482 Hes5 ProximalPromoter	-0.084	0.126	-0.048	-0.037	0.023
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206036  ProximalPromoter	-0.088	0.168	0.007	-0.149	-0.029
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200573 Asz1 ProximalPromoter	-0.075	-0.071	0.044	-0.019	-0.03
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207843 1700001G17Rik ProximalPromoter	-0.039	0.33	-0.086	-0.373	0.684
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207909 4930583H14Rik ProximalPromoter	-0.241	0.124	-0.074	-0.012	0.097
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208664 Saps3 ProximalPromoter	0.114	0.336	-0.112	-0.292	0.232
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200091 Krt7 ProximalPromoter	0.136	0.069	-0.124	-0.21	0.133
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002392 Stratagene PCR 5	0.055	0.365	-0.322	-0.301	0.113
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.059	0.082	-0.098	-0.149	0.086
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100618 Vamp2 ProximalPromoter	-0.16	-0.043	0.39	0.242	-0.093
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101740 Slc30a7 ProximalPromoter	-0.19	-0.32	0.266	0.155	-0.238
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102591 Serpina1a ProximalPromoter	-0.159	-0.063	1.213	0.575	-0.739
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103341 Tomm40 ProximalPromoter	-0.23	0.171	0.37	0.15	-0.193
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104367 Mmp2 DistalPromoter	-0.014	-0.112	0.145	0.223	-0.38
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107015 Klhdc3 DistalPromoter	0.023	-0.202	-0.029	0.367	0.023
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105189 Sec11l1 DistalPromoter	0.362	-0.135	0.076	0.038	0.179
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106203 Cyp4f18 DistalPromoter	-0.092	0.107	0.008	0.046	-0.267
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P000984 Blank	-0.017	0.086	-0.039	-0.114	0.002
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202734 1300018I05Rik ProximalPromoter	-0.032	0.046	-0.032	0.161	-0.148
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202131 A030007L17Rik ProximalPromoter	-0.026	-0.227	0.321	0.153	-0.07
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204344 Ednrb ProximalPromoter	0.112	0.2	0.111	0.153	0.004
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205281 Cldn4 ProximalPromoter	-0.125	-0.016	0.056	0.075	-0.209
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205458 Gsta4 ProximalPromoter	-0.118	-0.147	-0.119	-0.302	-0.108
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206604 Chm ProximalPromoter	-0.21	-0.125	0.19	0.092	0.12
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200549 Rbmy1a1 ProximalPromoter	-0.022	0.221	-0.319	-0.138	0.178
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207818 3230401I01Rik ProximalPromoter	0.208	0.074	-0.107	-0.429	-0.016
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207885 Tceb2 ProximalPromoter	0.094	-0.061	-0.146	-0.039	-0.02
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208730 2410166I05Rik ProximalPromoter	-0.197	-0.004	-0.052	0.061	0.023
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200067 Asb11 ProximalPromoter	0.384	0.664	0.497	-0.462	0.663
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002368 Stratagene PCR 3	0.167	0.44	-0.138	-0.225	0.059
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.07	0.093	-0.155	-0.112	0.039
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100594 Tpp2 ProximalPromoter	0.072	-0.017	-0.051	0.079	0.13
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101434 Omg ProximalPromoter	-0.194	-0.099	0.149	0.148	-0.263
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102567 Lnx2 ProximalPromoter	-0.437	-0.445	0.439	0.418	-0.391
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103317 Ccnc ProximalPromoter	-0.358	-0.388	0.289	0.263	-0.326
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104343 Kcnk1 DistalPromoter	-0.273	-0.218	-0.063	-0.001	-0.115
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107072 Apoc2 DistalPromoter	0.02	0.106	0.004	-0.049	-0.039
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105165 Tmem59 DistalPromoter	-0.019	-0.013	0.24	-0.015	-0.13
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106182  DistalPromoter	0.064	-0.052	0.055	0.217	-0.012
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P000888 Blank	-0.012	0.056	-0.031	-0.07	0.011
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207094 Stard3 ProximalPromoter	0.012	-0.309	0.381	-0.063	-0.252
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202107 Msra ProximalPromoter	-0.211	-0.282	0.311	0.153	-0.08
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204320 Twist2 ProximalPromoter	-0.083	-0.034	0.044	-0.033	-0.068
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205257 Cd22 ProximalPromoter	0.301	-0.402	-0.18	-0.091	-0.006
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205525 Ikbkg ProximalPromoter	0.024	0.059	-0.1	-0.039	-0.028
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206580 Scap2 ProximalPromoter	-0.238	-0.064	-0.122	0.12	0.126
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200525 4933434M16Rik ProximalPromoter	-0.066	-0.013	-0.096	-0.34	-0.037
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207794 Herc4 ProximalPromoter	-0.087	0.168	0.096	-0.201	-0.052
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001373 Blank	-0.103	-0.156	-0.016	0.071	-0.338
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208706 Ctsq ProximalPromoter	-0.125	0.005	-0.139	-0.062	0.114
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200043 0610009D07Rik ProximalPromoter	-0.014	0.256	-0.18	-0.363	0.28
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002344 Stratagene PCR 1	0.158	0.298	-0.185	-0.254	0.123
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.069	0.1	-0.139	-0.103	0.124
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100660 Apoa1 ProximalPromoter	-0.023	-0.052	0.031	0.243	-0.202
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101410 Brp44l ProximalPromoter	-0.148	-0.17	0.33	0.158	-0.203
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102543 Rab11b ProximalPromoter	-0.028	0.015	-0.025	0.044	-0.12
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103293  ProximalPromoter	0.001	-0.118	0.285	0.326	-0.198
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104133 Pck1 ProximalPromoter	0.329	0.276	0.478	0.708	-0.051
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107051 Ywhae DistalPromoter	0.032	0.072	0.018	-0.049	-0.055
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105141 Arl2 DistalPromoter	-0.071	-0.182	0.098	-0.03	-0.083
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106161  DistalPromoter	0.09	0.071	-0.087	0.025	0.177
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001164 Blank	-0.004	0.019	-0.066	-0.055	0.07
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207070 Pias4 ProximalPromoter	-0.145	-0.195	0.035	0.066	0.044
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202081 BC038925 ProximalPromoter	0.008	-0.097	0.074	0.092	0.048
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204296 Csnk ProximalPromoter	-0.129	0.209	-0.028	-0.02	-0.01
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204560 Il12rb2 ProximalPromoter	0.085	0.169	-0.144	-0.209	-0.103
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205501 Hoxb7 ProximalPromoter	-0.039	-0.072	0.121	-0.072	0.096
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206556 Rdh7 ProximalPromoter	0.136	0.056	0.329	0.318	0.305
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200500 Scpep1 ProximalPromoter	-0.062	0.235	-0.056	0.01	0.133
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207861 Mrpl49 ProximalPromoter	0.177	-0.041	0.001	-0.299	0.114
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001349 Blank	-0.142	-0.204	-0.043	0.162	-0.188
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208682 Tax1bp3 ProximalPromoter	0.107	0.154	-0.286	-0.255	0.113
