Hybridization REF	13685041.gpr	13685040.gpr	13685153.gpr	13685151.gpr	13685042.gpr
Reporter REF	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202256  ProximalPromoter	-0.137	0.115	-0.048	-0.059	0.048
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202520 4930503B16Rik ProximalPromoter	-0.029	-0.086	-0.349	-0.236	-0.04
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205218 Brca2 ProximalPromoter	-0.045	0.044	0.035	0.203	-0.182
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204799 Plau ProximalPromoter	0.027	0	-0.047	-0.063	0.046
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206828 Tdo2 ProximalPromoter	-0.007	0.039	0.009	0.009	0.265
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206998 Rgs20 ProximalPromoter	0.024	-0.154	0.033	-0.196	-0.245
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200455 Arf4 ProximalPromoter	-0.11	0.032	0.119	-0.005	0.013
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209472 Kdelr3 ProximalPromoter	0.055	0.046	-0.15	-0.004	-0.13
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207599 Nek11 ProximalPromoter	-0.284	-0.333	-0.58	-0.09	0.035
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207575 1810042K04Rik ProximalPromoter	0.302	0.129	0.271	0.534	0.249
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209982 L3mbtl2 ProximalPromoter	0.173	0.113	-0.068	0.077	0.027
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001697 Blank	-0.065	-0.008	0.033	-0.013	-0.019
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100039  ProximalPromoter	-0.035	-0.148	0.023	-0.122	-0.313
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100789 Gfra3 ProximalPromoter	0.094	0.076	0.062	-0.068	-0.136
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101629 Rdbp ProximalPromoter	0.103	0.159	-0.069	0.057	0.179
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102762  ProximalPromoter	-0.238	0.122	0.128	-0.226	-0.151
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103512 Mgst1 ProximalPromoter	-0.252	-0.246	0.307	0.352	-0.184
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104442 Psmd4 DistalPromoter	-0.02	-0.06	0.176	0.215	-0.076
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104898 Casp8ap2 DistalPromoter	0.015	0.159	0.103	-0.189	0.101
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107483 Hmgn2 DistalPromoter	-0.087	-0.344	0.288	0.153	-0.178
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106361 Ndufa5 DistalPromoter	-0.332	-0.232	0.394	0.425	-0.124
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203617 Xlkd1 ProximalPromoter	-0.01	0.146	0.002	0.147	0.077
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202912 Gatad2a ProximalPromoter	-0.163	0.123	0.098	-0.008	-0.139
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202496  ProximalPromoter	0.666	0.05	0.844	0.491	0.384
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205194 Atf4 ProximalPromoter	0.09	-0.532	0.818	0.687	0.033
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204774 Pdcd2 ProximalPromoter	0.274	0.137	-0.057	0.109	0.094
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206895 Dhodh ProximalPromoter	-0.117	0.222	-0.017	-0.045	-0.079
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206974 Piwil1 ProximalPromoter	0.346	-0.057	0.179	0.137	-0.29
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200430 Tbc1d14 ProximalPromoter	-0.171	-0.139	-0.09	0.088	-0.046
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209448  ProximalPromoter	0.116	0.171	-0.103	0.002	0.078
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208936 Dmpk ProximalPromoter	0.09	-0.126	0.026	-0.176	0.076
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207551 Ndufa12 ProximalPromoter	0.027	0.15	0.2	-0.093	0.327
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209958 BC031781 ProximalPromoter	-0.08	-0.212	-0.402	-0.28	-0.106
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001601 Blank	-0.032	-0.003	0.102	-0.015	-0.003
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100015 Afp ProximalPromoter	0.245	0.695	0.417	0.225	0.147
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100855 Fabp5 ProximalPromoter	-0.048	0.166	0.092	0.036	-0.016
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101605 Park7 ProximalPromoter	-0.21	-0.082	-0.047	0.009	-0.143
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102738 Cdh5 ProximalPromoter	-0.008	0.068	-0.058	0.039	-0.004
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103488 Cyp11a1 ProximalPromoter	-0.06	0.017	-0.047	-0.07	-0.041
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104328 1700013G24Rik DistalPromoter	0.121	0.018	-0.101	0.071	-0.024
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104874 Pacsin1 DistalPromoter	-0.104	-0.035	-0.014	0.119	0.085
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105752 Sdcbp DistalPromoter	-0.154	-0.314	0.147	0.248	-0.112
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106339 Zfp364 DistalPromoter	-0.035	-0.176	0.228	-0.033	0.016
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203684 Stk40 ProximalPromoter	-0.005	0.216	-0.1	0.198	-0.034
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202888 Gabra5 ProximalPromoter	0.056	0.177	-0.088	-0.143	0.068
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202472 Olfml3 ProximalPromoter	0.002	-0.413	-0.037	-0.193	0.292
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205170 Ampd3 ProximalPromoter	-0.042	-0.226	-0.071	0.07	0.155
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204467 Gng3 ProximalPromoter	-0.287	-0.15	-0.488	0.169	-0.098
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206871 Clec1b ProximalPromoter	-0.004	0.119	-0.33	-0.038	-0.083
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206949 Zbtb22 ProximalPromoter	0.062	0.16	-0.02	0.005	0.126
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200406 Diablo ProximalPromoter	-0.126	0.05	-0.033	-0.069	-0.144
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209515 Calml4 ProximalPromoter	-0.125	0.127	0.142	0.126	-0.049
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208911  ProximalPromoter	0.176	-0.405	-0.246	-0.26	-0.28
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207527 1700018B24Rik ProximalPromoter	0.179	0.539	0.053	-0.214	-0.095
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209933 Ranbp10 ProximalPromoter	0.48	0.838	0.227	-0.348	0.938
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002425 Stratagene PCR 8	0.055	0.244	-0.088	-0.206	0.025
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100927 Per1 ProximalPromoter	0.152	0.025	-0.044	-0.086	0.055
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101677 C1galt1c1 ProximalPromoter	-0.204	0.064	0.049	0.297	-0.005
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102810 Fgf14 ProximalPromoter	-0.215	-0.282	0.376	0.646	0.041
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103650 Pla2g12a ProximalPromoter	0.004	0.015	-0.024	0.005	-0.117
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106619 Cdc2a DistalPromoter	-0.192	-0.096	0.305	-0.07	-0.081
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107121 Cdyl DistalPromoter	-0.042	-0.205	0.149	0.196	-0.152
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105216 Tob2 DistalPromoter	-0.103	-0.072	-0.086	0.178	-0.029
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106140 Nde1 DistalPromoter	-0.007	0.37	-0.108	0.072	-0.177
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201814 D16Ertd472e ProximalPromoter	0.052	0.02	0.067	-0.001	-0.074
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202188 Hadhsc ProximalPromoter	-0.069	-0.161	-0.122	-0.007	-0.004
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205650 Myc ProximalPromoter	0.038	0.041	0.178	0.224	0.038
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201447 Gpbp1l1 ProximalPromoter	0.096	0.052	-0.051	0.064	0.106
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204732 Notch3 ProximalPromoter	0.174	0.119	-0.055	0.024	0.055
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202569 Dscr1 ProximalPromoter	-0.025	-0.054	-0.203	0.276	0.738
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206631 Fbp1 ProximalPromoter	0.746	0.031	0.234	0.31	0.238
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200777 Ccbe1 ProximalPromoter	-0.212	-0.32	-0.315	-0.005	-0.2
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209588 Gbgt1 ProximalPromoter	-0.096	-0.106	0.372	-0.129	-0.343
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207725 Higd2a ProximalPromoter	0.318	0.002	-0.258	0.091	-0.107
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207212 Aspa ProximalPromoter	-0.081	-0.115	-0.016	0.001	-0.048
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209028 Sep15 ProximalPromoter	0.093	0.135	-0.013	0.072	0.206
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002401 Stratagene PCR 6	0.173	0.132	-0.038	-0.183	0.003
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001902 Cy3 Anchor	null	null	null	null	null
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100903 Hdlbp ProximalPromoter	0.027	0.03	-0.171	-0.161	0.009
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101653 Ghrl ProximalPromoter	0.198	-0.378	-0.262	-0.195	0.271
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102504  ProximalPromoter	-0.152	-0.293	0.275	-0.251	0.191
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103626 Fzd5 ProximalPromoter	-0.045	0.072	-0.148	0.019	0.072
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106597 Bgn DistalPromoter	-0.218	-0.189	0.222	0.2	-0.231
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107099 C3ar1 DistalPromoter	0.07	-0.04	-0.121	0.022	-0.081
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105282 Fn3k DistalPromoter	-0.209	0.28	-0.375	-0.079	0.424
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106118 Apoc3 DistalPromoter	-0.008	-0.005	-0.06	-0.12	0.102
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201790 Tarsl2 ProximalPromoter	0.065	0.46	0.746	0.542	0.053
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202164 D2Ertd435e ProximalPromoter	0.128	0.578	-0.133	0.151	-0.102
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201745  ProximalPromoter	-0.013	-0.129	0.056	-0.141	-0.107
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201423 Wars2 ProximalPromoter	-0.175	-0.048	-0.068	-0.186	-0.184
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204708 Myo7a ProximalPromoter	-0.035	-0.096	0.131	0.254	0.017
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202544 Tmem66 ProximalPromoter	-0.123	-0.051	0.151	-0.035	-0.132
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206701 Tspan5 ProximalPromoter	0.109	-0.028	-0.086	-0.12	-0.111
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200753 2010310D06Rik ProximalPromoter	-0.025	0.035	0.044	-0.01	-0.294
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209563 Mapk11 ProximalPromoter	-0.126	-0.286	0.1	0.023	0.267
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207701 Txndc14 ProximalPromoter	-0.209	-0.197	-0.033	-0.245	-0.297
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208354 2310001A20Rik ProximalPromoter	-0.254	-0.21	-0.347	-0.109	0.247
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209003 Lmx1a ProximalPromoter	0.088	0.043	0.028	-0.058	0.041
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002377 Stratagene PCR 4	0.082	0.172	-0.106	-0.209	0.19
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001806 Cy3 Anchor	null	null	null	null	null
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100879 Matr3 ProximalPromoter	0.021	0.733	-0.084	0.23	-0.117
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101719 Twsg1 ProximalPromoter	-0.021	-0.012	-0.038	0.231	-0.048
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102480 Pdha2 ProximalPromoter	0.106	0.282	0.02	-0.101	0.032
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103602 Arpp19 ProximalPromoter	-0.088	-0.125	-0.129	0.045	-0.011
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106575 Rhoc DistalPromoter	-0.145	-0.103	0.196	0.059	-0.185
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106986 Supt4h1 DistalPromoter	0.325	0.336	0.046	0.137	0
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105258 Usp14 DistalPromoter	-0.018	-0.047	-0.199	-0.074	-0.033
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106096 Sav1 DistalPromoter	-0.169	-0.162	-0.179	-0.168	-0.061
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201764 Aacs ProximalPromoter	0.217	0.434	0.237	0.105	0.119
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202231 Pla2g7 ProximalPromoter	-0.076	-0.246	-0.032	0.025	0.016
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201721 Camkk2 ProximalPromoter	0.197	0.161	-0.06	0.004	0.063
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201399 9830124H08Rik ProximalPromoter	0.071	-0.327	0.099	-0.037	0.129
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204683  ProximalPromoter	0.103	-0.152	0.208	-0.036	-0.708
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205437 Gnao1 ProximalPromoter	0.028	0.045	-0.079	0.125	-0.05
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206675 Ammecr1 ProximalPromoter	0.078	0.049	0.061	0.004	0.067
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200729 Peli1 ProximalPromoter	0.088	0.135	0.163	0.058	-0.043
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209539 Syt17 ProximalPromoter	-0.013	-0.065	-0.179	-0.087	0.072
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207767 1300007F04Rik ProximalPromoter	-0.103	-0.024	-0.189	-0.013	0.408
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208330 1200002N14Rik ProximalPromoter	-0.205	-0.061	-0.069	0.079	0.019
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208978 Pcdhgb1 ProximalPromoter	0.198	0.052	-0.023	-0.089	0.012
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002353 Stratagene PCR 2	0.049	-0.01	-0.008	-0.135	-0.045
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.07	-0.022	-0.008	-0.05	0.011
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100573 Tff1 ProximalPromoter	0.443	-0.614	0.317	-0.472	-0.006
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101695 Fliih ProximalPromoter	-0.001	0.129	-0.036	-0.052	0.078
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102456  ProximalPromoter	0.035	0.052	-0.082	-0.022	-0.001
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103578 Dexi ProximalPromoter	-0.02	-0.179	-0.081	-0.004	-0.058
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106645 Col4a3 DistalPromoter	-0.245	-0.147	0.278	0.284	-0.301
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106964 Sh3bp1 DistalPromoter	0.097	0.018	-0.029	0.187	-0.166
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105234 Evc DistalPromoter	0.085	0.029	-0.079	-0.045	0.029
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106074 Nup160 DistalPromoter	0.047	0.051	0.031	-0.177	-0.06
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001159 Blank	0.028	-0.026	0.009	-0.041	0.006
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202207 Dph2 ProximalPromoter	0.208	-0.022	0.041	0.007	0.013
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201696 Ifit2 ProximalPromoter	-0.08	-0.084	-0.013	-0.018	-0.143
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201375 Kcna4 ProximalPromoter	0.082	0.108	-0.15	-0.158	0.005
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204750 Dusp8 ProximalPromoter	-0.019	-0.021	0.041	-0.034	0.029
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205413 Fut4 ProximalPromoter	0.057	-0.033	-0.058	0.098	0.09
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206651 Stk19 ProximalPromoter	0.044	-0.154	0.094	-0.08	-0.018
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200705 Defb41 ProximalPromoter	-0.053	0.076	0.056	0.038	0.022
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208547 Muc5b ProximalPromoter	-0.053	0.307	-0.476	-0.024	-0.057
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207743 Mis12 ProximalPromoter	-0.156	-0.25	0.245	0.166	-0.012
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208306 5430416O09Rik ProximalPromoter	0.041	0.059	0.077	0.052	0.326
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208954 Glce ProximalPromoter	-0.018	-0.061	-0.083	-0.009	0.101
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002419 Stratagene PCR 7	0.037	-0.024	-0.033	-0.159	0.038
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	-0.01	-0.033	-0.02	-0.066	-0.013
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100549 Srp14 ProximalPromoter	-0.123	-0.182	0.203	-0.145	0.054
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101671 Smu1 ProximalPromoter	0.129	0.105	-0.054	-0.045	0.078
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102432 Mfge8 ProximalPromoter	-0.274	-0.195	0.127	-0.055	-0.306
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103272 Apln ProximalPromoter	-0.192	-0.208	0.133	0.347	-0.162
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106623 Hnrpa2b1 DistalPromoter	-0.195	0.086	0.193	0.229	-0.186
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106943 Reps1 DistalPromoter	0.013	0	0.062	-0.072	-0.14
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105210 Dnajb10 DistalPromoter	0.135	0.049	-0.04	-0.038	-0.221
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106144 Rhoj DistalPromoter	-0.088	-0.108	0.033	0.141	-0.189
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001063 Blank	0.045	0.051	0.008	-0.008	-0.041
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202182 Ik ProximalPromoter	-0.092	0.102	0.334	0.063	0.521
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201672 D130011D22Rik ProximalPromoter	0.132	0.075	0.919	-0.173	0.165
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204178 C2ta ProximalPromoter	0.054	-0.042	0.428	-0.055	-0.088
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204726 Nmt2 ProximalPromoter	0.133	0.142	-0.102	-0.241	-0.05
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205389 Fdft1 ProximalPromoter	0.124	0.102	0.603	0.692	0.153
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206625 2410003P15Rik ProximalPromoter	0.017	0.337	0.102	0.11	-0.09
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200771 Fem1c ProximalPromoter	0.41	-0.083	0.094	0.075	0.098
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208523 Cbx6 ProximalPromoter	0.159	-0.153	0.108	-0.306	-0.065
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207719 2010315L10Rik ProximalPromoter	-0.06	0.645	-0.028	-0.056	-0.124
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208282 4921504E06Rik ProximalPromoter	0.271	0.073	-0.072	-0.01	-0.018
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207388 Phf10 ProximalPromoter	0.022	0.146	-0.501	-0.569	0.241
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002395 Stratagene PCR 5	-0.008	0.079	-0.012	-0.152	-0.004
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.059	-0.023	0.005	-0.058	0.006
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100525 Slc16a1 ProximalPromoter	-0.213	-0.218	-0.127	-0.177	-0.208
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101647 Isl1 ProximalPromoter	0.107	0.102	-0.124	0	0.085
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102498  ProximalPromoter	0.013	-0.138	0.031	0.015	-0.081
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103248 Sh2d3c ProximalPromoter	0.049	-0.044	0.124	0.068	0.176
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106602 Bad DistalPromoter	0.044	-0.485	0.09	0.007	-0.08
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106922 Psmb6 DistalPromoter	0.181	0.09	-0.036	0.006	0.286
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105739 Pld3 DistalPromoter	0.16	-0.088	-0.03	0.076	0.337
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105618 Clstn1 DistalPromoter	-0.042	0.042	0.011	0.049	-0.242
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P000967 Blank	-0.007	0.052	-0.005	-0.041	0.024
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202158 2900001O04Rik ProximalPromoter	0.02	0.103	0.336	-0.022	0.057
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201739 Ankrd43 ProximalPromoter	0.16	0.441	0.151	0.293	0.158
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204154 Bak1 ProximalPromoter	0.134	0.023	-0.177	-0.014	0.052
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204702 Gadd45b ProximalPromoter	-0.247	-0.149	0.025	-0.016	0.298
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205364 Eif2b4 ProximalPromoter	0.029	0.665	-0.103	0.044	-0.058
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206510 Gal3st1 ProximalPromoter	0.552	-0.133	-0.003	-0.028	0.008
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200747 Neurod1 ProximalPromoter	0.287	0.222	0.137	-0.097	0.182
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208498 Fcho1 ProximalPromoter	0.127	0.083	0.157	0.137	-0.25
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207695 Ddx18 ProximalPromoter	0.024	-0.101	0.32	0.145	-0.006
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208348 Zfp297b ProximalPromoter	0.021	0.07	0.051	-0.202	0.098
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207364 AI837181 ProximalPromoter	0.082	0.202	0.195	0.014	0.11
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002371 Stratagene PCR 3	0.025	0.065	-0.031	-0.152	0.023
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.06	0.012	0.04	-0.031	-0.001
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100501 S100a10 ProximalPromoter	0.17	-0.308	1.236	0.605	0.177
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101341 Pdlim1 ProximalPromoter	0.063	0.464	-0.04	-0.014	-0.058
